         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:969(parse)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1163(sort_indices)
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:312(_check_ellipsis)
       20    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
       41    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:240(__next)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:210(decode)
       40    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:371(isfunction)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:665(_check_estimator_name)
       30    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       10    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_data.py:94(copy)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1131(has_sorted_indices)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\base.py:448(_check_feature_names)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1478(_make_int_array)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:3254(bind)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:212(isscalarlike)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_matrix.py:17(_csc_container)
       33    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:261(get)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:2232(_get_feature_names)
       27    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:200(makedirs)
       15    0.000    0.000    0.001    0.000 D:\Python\Lib\re\__init__.py:226(compile)
       46    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 D:\Python\Lib\enum.py:1541(__and__)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:1587(check_is_fitted)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1150(__init__)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\metrics\pairwise.py:55(_return_float_dtype)
        5    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:306(_check_device_cpu)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_matrix.py:22(_csr_container)
       30    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:2512(cumsum)
       26    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:176(append)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:693(is_satisfied_by)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:398(asformat)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:243(_optimize_charset)
       17    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:256(match)
       59    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:349(_maybe_bool_ndarray)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:767(_is_wrapper)
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:296(_is_arraylike_not_scalar)
